,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Gradient Boosting,0.7459190915542938,0.5147058823529411,0.7486631016042781,0.6100217864923747,0.8370869823555246
Logistic Regression,0.752306600425834,0.5255623721881391,0.6871657754010695,0.5955967555040557,0.8289209227828155
LightGBM,0.7622427253371186,0.5403726708074534,0.6978609625668449,0.6091015169194866,0.8261812498385389
Support Vector Machine,0.7579843860894251,0.5338809034907598,0.6951871657754011,0.6039488966318235,0.8239479190885841
Gaussian Naive Bayes,0.723207948899929,0.4867549668874172,0.786096256684492,0.6012269938650306,0.8211785372910693
Random Forest,0.765791341376863,0.5502283105022832,0.6443850267379679,0.5935960591133005,0.8191983776382753
XGBoost,0.7601135557132718,0.54,0.6497326203208557,0.5898058252427184,0.8064093621638377
K-Nearest Neighbors,0.7097232079489,0.46869409660107336,0.7005347593582888,0.5616291532690246,0.7823064403627064
